"0x2207 'IO\IO.M3.DO.HA1OE.Cmd'"	"0x010D"	"IO.M3.DO.HA1OE.Cmd"	"HA1OE-Hlad.agregat 1 odpadne energija"	"HA1OE-Hlad.agregat 1 odpadne energija"	"HA1OE-Hlad.agregat 1 odpadne energija"	"HA1OE-Hlad.agregat 1 odpadne energija"	"HA1OE-Hlad.agregat 1 odpadne energija"	"HA1OE-Hlad.agregat 1 odpadne energija"	"HA1OE-Hlad.agregat 1 odpadne energija"	"HA1OE-Hlad.agregat 1 odpadne energija"
"0x2207 'IO\IO.M3.DO.HA2OE.Cmd'"	"0x010D"	"IO.M3.DO.HA2OE.Cmd"	"HA2OE-Hlad.agregat 2 odpadna energija"	"HA2OE-Hlad.agregat 2 odpadna energija"	"HA2OE-Hlad.agregat 2 odpadna energija"	"HA2OE-Hlad.agregat 2 odpadna energija"	"HA2OE-Hlad.agregat 2 odpadna energija"	"HA2OE-Hlad.agregat 2 odpadna energija"	"HA2OE-Hlad.agregat 2 odpadna energija"	"HA2OE-Hlad.agregat 2 odpadna energija"
"0x2203 'IO\IO.M4.AI.TJ12.Val'"	"0x010D"	"IO.M4.AI.TJ12.Val"	"TJ12-T.hlad.greda primar predtok"	"TJ12-T.hlad.greda primar predtok"	"TJ12-T.hlad.greda primar predtok"	"TJ12-T.hlad.greda primar predtok"	"TJ12-T.hlad.greda primar predtok"	"TJ12-T.hlad.greda primar predtok"	"TJ12-T.hlad.greda primar predtok"	"TJ12-T.hlad.greda primar predtok"
"0x2203 'IO\IO.M4.AI.TJ22.Val'"	"0x010D"	"IO.M4.AI.TJ22.Val"	"TJ22-T.hlad.greda primar povratek"	"TJ22-T.hlad.greda primar povratek"	"TJ22-T.hlad.greda primar povratek"	"TJ22-T.hlad.greda primar povratek"	"TJ22-T.hlad.greda primar povratek"	"TJ22-T.hlad.greda primar povratek"	"TJ22-T.hlad.greda primar povratek"	"TJ22-T.hlad.greda primar povratek"
"0x2203 'IO\IO.M4.AI.TJ3.Val'"	"0x010D"	"IO.M4.AI.TJ3.Val"	"TJ3-T.hlad.greda sekundar predtok"	"TJ3-T.hlad.greda sekundar predtok"	"TJ3-T.hlad.greda sekundar predtok"	"TJ3-T.hlad.greda sekundar predtok"	"TJ3-T.hlad.greda sekundar predtok"	"TJ3-T.hlad.greda sekundar predtok"	"TJ3-T.hlad.greda sekundar predtok"	"TJ3-T.hlad.greda sekundar predtok"
"0x2203 'IO\IO.M4.AI.TJ4.Val'"	"0x010D"	"IO.M4.AI.TJ4.Val"	"TJ4-T.hlad.greda sekundar povratek"	"TJ4-T.hlad.greda sekundar povratek"	"TJ4-T.hlad.greda sekundar povratek"	"TJ4-T.hlad.greda sekundar povratek"	"TJ4-T.hlad.greda sekundar povratek"	"TJ4-T.hlad.greda sekundar povratek"	"TJ4-T.hlad.greda sekundar povratek"	"TJ4-T.hlad.greda sekundar povratek"
"0x2204 'IO\IO.M4.Alm.DV.Val'"	"0x010D"	"IO.M4.Alm.DV.Val"	"DV-Dopolnjevanje vode-motnja"	"DV-Dopolnjevanje vode-motnja"	"DV-Dopolnjevanje vode-motnja"	"DV-Dopolnjevanje vode-motnja"	"DV-Dopolnjevanje vode-motnja"	"DV-Dopolnjevanje vode-motnja"	"DV-Dopolnjevanje vode-motnja"	"DV-Dopolnjevanje vode-motnja"
"0x2203 'IO\IO.M4.AI.TJ5.Val'"	"0x010D"	"IO.M4.AI.TJ5.Val"	"TJ5-T.hlad.greda sek.pred.za ventilom"	"TJ5-T.hlad.greda sek.pred.za ventilom"	"TJ5-T.hlad.greda sek.pred.za ventilom"	"TJ5-T.hlad.greda sek.pred.za ventilom"	"TJ5-T.hlad.greda sek.pred.za ventilom"	"TJ5-T.hlad.greda sek.pred.za ventilom"	"TJ5-T.hlad.greda sek.pred.za ventilom"	"TJ5-T.hlad.greda sek.pred.za ventilom"
"0x2203 'IO\IO.M4.AI.TJ6.Val'"	"0x010D"	"IO.M4.AI.TJ6.Val"	"TJ6-T.hlad.greda sek.pov.za ventilom"	"TJ6-T.hlad.greda sek.pov.za ventilom"	"TJ6-T.hlad.greda sek.pov.za ventilom"	"TJ6-T.hlad.greda sek.pov.za ventilom"	"TJ6-T.hlad.greda sek.pov.za ventilom"	"TJ6-T.hlad.greda sek.pov.za ventilom"	"TJ6-T.hlad.greda sek.pov.za ventilom"	"TJ6-T.hlad.greda sek.pov.za ventilom"
"0x2204 'IO\IO.M4.Alm.C11.Val'"	"0x010D"	"IO.M4.Alm.C11.Val"	"C11-Crp hladilna greda-motnja"	"C11-Crp hladilna greda-motnja"	"C11-Crp hladilna greda-motnja"	"C11-Crp hladilna greda-motnja"	"C11-Crp hladilna greda-motnja"	"C11-Crp hladilna greda-motnja"	"C11-Crp hladilna greda-motnja"	"C11-Crp hladilna greda-motnja"
