"Member"	"ID"	"Name"	"Desc"	"4"	"5"	"6"	"7"	"8"	"9"	"10"
"0x0034 0x00000001"	"0x1100"	"BACnet"	"BACnet"	"BACnet"	"BACnet"	"BACnet"	"BACnet"	"BACnet"	"BACnet"	
"0x0034 0x00000001"	"0x1200"	"Both*Transmit*Receive*No"	"Both*Transmit*Receive*No"	"Both*Transmit*Receive*No"	"Both*Transmit*Receive*No"	"Both*Transmit*Receive*No"	"Both*Transmit*Receive*No"	"Both*Transmit*Receive*No"	"Both*Transmit*Receive*No"	
"0x0034 0x00000001"	"0x1201"	"auto*ANSI/UTF-8*ISO-8859-1*UCS-2"	"auto*ANSI/UTF-8*ISO-8859-1*UCS-2"	"auto*ANSI/UTF-8*ISO-8859-1*UCS-2"	"auto*ANSI/UTF-8*ISO-8859-1*UCS-2"	"auto*ANSI/UTF-8*ISO-8859-1*UCS-2"	"auto*ANSI/UTF-8*ISO-8859-1*UCS-2"	"auto*ANSI/UTF-8*ISO-8859-1*UCS-2"	"auto*ANSI/UTF-8*ISO-8859-1*UCS-2"	
"0x0034 0x00000001"	"0x1202"	"OK*Init*NoActivePort*StacErr*Term*NoLic"	"OK*Init*NoActivePort*StacErr*Term*NoLic"	"OK*Init*NoActivePort*StacErr*Term*NoLic"	"OK*Init*NoActivePort*StacErr*Term*NoLic"	"OK*Init*NoActivePort*StacErr*Term*NoLic"	"OK*Init*NoActivePort*StacErr*Term*NoLic"	"OK*Init*NoActivePort*StacErr*Term*NoLic"	"OK*Init*NoActivePort*StacErr*Term*NoLic"	
"0x0040 0x00000001"	"0x1100"	"OPC-UA"	"OPC-UA"	"OPC-UA"	"OPC-UA"	"OPC-UA"	"OPC-UA"	"OPC-UA"	"OPC-UA"	
"0x0040 0x00000001"	"0x1200"	"Run*Init*Disabled*NoLic*InitFailed*Shutdown*Stop*NoLink"	"Run*Init*Disabled*NoLic*InitFailed*Shutdown*Stop*NoLink"	"Run*Init*Disabled*NoLic*InitFailed*Shutdown*Stop*NoLink"	"Run*Init*Disabled*NoLic*InitFailed*Shutdown*Stop*NoLink"	"Run*Init*Disabled*NoLic*InitFailed*Shutdown*Stop*NoLink"	"Run*Init*Disabled*NoLic*InitFailed*Shutdown*Stop*NoLink"	"Run*Init*Disabled*NoLic*InitFailed*Shutdown*Stop*NoLink"	"Run*Init*Disabled*NoLic*InitFailed*Shutdown*Stop*NoLink"	
"0x0041 0x00000001"	"0x1100"	"LicMngr"	"LicMngr"	"LicMngr"	"LicMngr"	"LicMngr"	"LicMngr"	"LicMngr"	"LicMngr"	
"0x0021 0x00000001"	"0x1100"	"IOExtensionBus"	"IOExtensionBus"	"IOExtensionBus"	"IOExtensionBus"	"IOExtensionBus"	"IOExtensionBus"	"IOExtensionBus"	"IOExtensionBus"	
"0x0033 0x00000001"	"0x1100"	"EventHistory"	"EventHistory"	"EventHistory"	"EventHistory"	"EventHistory"	"EventHistory"	"EventHistory"	"EventHistory"	
"0x0033 0x00000001"	"0x1101"	"Time*ObjID*Class*State"	"Time*ObjID*Class*State"	"Time*ObjID*Class*State"	"Time*ObjID*Class*State"	"Time*ObjID*Class*State"	"Time*ObjID*Class*State"	"Time*ObjID*Class*State"	"Time*ObjID*Class*State"	
"0x002E 0x00000001"	"0x1100"	"AlarmSnapshot"	"AlarmSnapshot"	"AlarmSnapshot"	"AlarmSnapshot"	"AlarmSnapshot"	"AlarmSnapshot"	"AlarmSnapshot"	"AlarmSnapshot"	
"0x002E 0x00000001"	"0x1101"	"NotUsed*Init*Free*Active*Stored"	"NotUsed*Init*Free*Active*Stored"	"NotUsed*Init*Free*Active*Stored"	"NotUsed*Init*Free*Active*Stored"	"NotUsed*Init*Free*Active*Stored"	"NotUsed*Init*Free*Active*Stored"	"NotUsed*Init*Free*Active*Stored"	"NotUsed*Init*Free*Active*Stored"	
"0x002E 0x00000001"	"0x1200"	"Time*ObjID*Class"	"Time*ObjID*Class"	"Time*ObjID*Class"	"Time*ObjID*Class"	"Time*ObjID*Class"	"Time*ObjID*Class"	"Time*ObjID*Class"	"Time*ObjID*Class"	
